transcript_id,ERR5060645,ERR5060646
transcript:Os04t0659500-01,101,66
transcript:Os12t0521101-00,0,0
transcript:Os04t0582700-00,41,57
transcript:Os04t0296700-03,107,99
transcript:Os04t0296700-02,297,331
transcript:Os04t0296700-01,634,887
transcript:transcript-rps19-2,6,20
transcript:Os09t0278700-00,32,45
transcript:Os03t0180900-01,412,973
transcript:Os01t0723700-01,260,326
transcript:Os07t0552800-01,28,109
transcript:Os07t0552800-02,12,0
transcript:Os06t0185966-00,10,29
transcript:Os04t0572400-01,10,20
transcript:Os08t0424700-00,0,0
transcript:Os05t0195901-00,0,0
transcript:Os06t0700550-00,0,34
transcript:Os11t0250400-01,0,0
transcript:Os01t0953600-01,519,1028
transcript:Os02t0644700-01,2363,2654
transcript:ENSRNA049476419-T1,0,0
transcript:Os01t0953600-02,252,291
transcript:Os10t0500700-01,5324,7650
transcript:Os10t0500700-02,0,0
transcript:Os05t0166833-00,0,0
transcript:Os02t0562000-00,0,0
transcript:Os07t0466500-00,25,5
transcript:Os05t0549232-00,0,0
transcript:Os05t0548900-01,2116,1731
transcript:Os11t0620450-00,54,37
transcript:Os07t0571000-01,0,0
transcript:Os03t0284600-01,329,693
transcript:Os06t0221000-00,10,23
transcript:Os07t0506700-01,908,1080
transcript:Os07t0582600-00,0,0
transcript:Os12t0411700-02,5,41
transcript:Os08t0552700-00,0,0
transcript:Os07t0188700-01,617,2263
transcript:Os07t0188700-02,17,19
transcript:Os07t0188700-03,29,0
transcript:Os03t0591600-00,0,6
transcript:Os11t0702600-00,0,0
transcript:Os08t0410900-01,0,16
transcript:Os06t0691000-02,21,37
transcript:Os09t0567900-01,1417,1778
transcript:Os12t0265100-01,512,887
transcript:Os12t0265100-02,60,86
transcript:Os04t0453400-01,10,31
transcript:Os06t0691000-01,805,1185
transcript:Os04t0453400-02,264,357
transcript:Os05t0272900-01,578,758
transcript:Os05t0395116-00,6,0
transcript:Os11t0219000-01,370,274
transcript:Os11t0216350-00,4,7
transcript:Os02t0538000-01,919,1212
transcript:Os12t0448900-01,158,262
transcript:Os08t0552100-00,65,95
transcript:Os04t0524600-01,278,516
transcript:Os02t0332200-01,3159,4027
transcript:Os04t0443750-00,53,22
transcript:Os03t0308000-01,5942,7631
transcript:Os02t0332200-02,196,5
transcript:Os08t0191650-01,39,124
transcript:Os04t0580450-00,48,0
transcript:Os01t0564950-00,0,0
transcript:Os01t0681332-01,7,2
transcript:ENSRNA049474398-T1,0,0
transcript:Os01t0686100-02,407,509
transcript:Os03t0137250-00,0,0
transcript:Os05t0159100-01,1747,2002
transcript:Os02t0285300-01,893,1124
transcript:Os02t0195800-01,776,656
transcript:Os10t0420900-01,60,58
transcript:Os01t0795700-01,9,186
transcript:Os03t0573001-00,14,11
transcript:Os05t0455900-01,112,141
transcript:Os09t0433300-00,17,7
transcript:Os09t0503250-00,5,9
transcript:Os11t0504000-00,0,0
transcript:Os01t0686300-01,44,25
transcript:Os02t0200900-02,0,0
transcript:Os02t0200900-03,363,1307
transcript:Os02t0200900-01,4022,6402
transcript:Os02t0200900-04,2,4
transcript:Os08t0118100-00,335,396
transcript:Os01t0705500-01,942,999
transcript:Os03t0649275-01,0,0
transcript:Os04t0516600-01,2810,4046
transcript:ENSRNA049472901-T1,19,15
transcript:Os04t0603400-01,182,461
transcript:Os09t0451000-01,2179,4253
transcript:Os06t0711900-01,123,60
transcript:Os06t0726800-01,142,118
transcript:Os11t0222320-00,0,0
transcript:Os08t0123600-01,0,3
transcript:Os10t0100300-01,402,767
transcript:Os04t0488600-03,32,76
transcript:Os04t0488600-02,114,192
transcript:Os04t0488600-01,236,222
transcript:Os03t0153900-01,64,219
transcript:Os04t0488600-04,149,181
transcript:Os01t0271400-00,381,548
transcript:Os03t0793450-00,7,9
transcript:Os03t0161200-01,1696,3096
transcript:ENSRNA049474505-T1,0,1
transcript:Os05t0555300-02,16,50
transcript:Os01t0919100-01,0,5
transcript:Os09t0252100-02,1548,869
transcript:Os12t0468300-00,87,106
transcript:Os09t0252100-01,1750,3076
transcript:Os01t0868200-02,4,0
transcript:Os01t0868200-01,1698,2364
transcript:Os02t0226900-01,149,256
transcript:Os04t0660400-01,839,1845
transcript:Os04t0660400-03,1210,1896
transcript:Os04t0660400-02,2881,3591
transcript:Os06t0325602-00,34,14
transcript:Os03t0340500-01,83429,106234
transcript:Os10t0116600-00,35,14
transcript:Os03t0340500-03,1331,2310
transcript:Os09t0114933-00,0,0
transcript:Os06t0115200-01,441,574
transcript:Os02t0155300-01,93,203
transcript:Os04t0447600-01,123,99
transcript:Os02t0599100-00,998,953
transcript:Os03t0317000-01,5163,5986
transcript:Os02t0163500-01,619,597
transcript:Os04t0495400-01,315,591
transcript:Os07t0205500-01,368,374
transcript:Os03t0747300-01,3029,3440
transcript:Os08t0280600-01,751,963
transcript:Os01t0847200-02,1106,2423
transcript:Os01t0847200-01,1054,1147
transcript:Os10t0162600-00,200,225
transcript:Os08t0263300-02,246,319
transcript:Os08t0263300-01,16,24
transcript:Os06t0725250-00,0,6
transcript:Os07t0500951-00,0,0
transcript:Os03t0855700-02,125,269
transcript:Os09t0551251-00,0,0
transcript:Os04t0626450-01,47,131
transcript:Os09t0506700-00,5,0
transcript:Os03t0855700-01,1392,2349
transcript:Os11t0631825-01,294,399
transcript:Os06t0630850-01,10,20
transcript:Os11t0532600-01,0,1014
transcript:Os10t0393100-01,1028,1499
transcript:Os12t0555400-01,59,79
transcript:Os09t0301800-01,0,0
transcript:Os11t0579400-02,0,112
transcript:Os11t0579400-01,2,140
transcript:Os08t0223833-00,1252,1664
transcript:Os04t0174850-00,127,212
transcript:Os10t0188900-01,1646,1603
