gene_id,ERR5060645,ERR5060646
gene:Os03g0105700,562,502
gene:Os04g0551700,180,363
gene:Os07g0594400,63,241
gene:Os08g0567100,0,2
gene:Os12g0559100,15,27
gene:Os01g0225000,417,375
gene:Os04g0586500,459,2549
gene:Os01g0510901,33,39
gene:Os04g0420500,217,354
gene:Os06g0197901,0,0
gene:Os12g0407750,0,0
gene:Os03g0135550,63,111
gene:Os04g0610600,3316,9675
gene:Os03g0588600,62,137
gene:Os10g0547500,221,935
gene:Os04g0587451,11,21
gene:Os05g0297800,41,94
gene:Os01g0765900,0,0
gene:Os05g0125250,25,18
gene:Os06g0679400,7,0
gene:Os12g0243050,0,0
gene:Os03g0320600,119,114
gene:Os11g0654000,257,327
gene:Os03g0156366,0,0
gene:Os06g0499000,1659,1897
gene:Os01g0911133,4,3
gene:Os01g0634300,3229,3296
gene:Os01g0698500,8,14
gene:Os01g0238375,0,0
gene:Os07g0640200,2429,2929
gene:Os05g0152700,0,0
gene:Os09g0472100,216,1465
gene:Os04g0506300,18,26
gene:Os06g0356800,41,56
gene:Os04g0616600,54,66
gene:ENSRNA049447449,0,0
gene:Os05g0582300,2413,3133
gene:Os03g0120800,92,111
gene:Os01g0930950,46,71
gene:Os10g0495416,154,384
gene:Os01g0140100,7097,6903
gene:Os08g0240500,0,29
gene:Os01g0900700,0,0
gene:Os09g0524001,14,34
gene:Os07g0574400,215,532
gene:Os09g0479133,28,31
gene:Os02g0582600,8,51
gene:Os07g0486100,1161,2505
gene:Os05g0420000,38,86
gene:Os06g0144900,0,0
gene:Os01g0971800,48,82
gene:Os09g0444500,1098,1624
gene:Os04g0310800,0,0
gene:Os05g0220600,285,368
gene:Os10g0464400,1944,2539
gene:Os11g0679700,48,20
gene:Os06g0476100,3,0
gene:Os03g0123600,1912,3081
gene:Os02g0760200,3932,4957
gene:Os12g0181300,3,9
gene:Os01g0876200,18,22
gene:Os03g0291700,59,98
gene:Os04g0342100,0,0
gene:Os06g0525000,70,101
gene:Os03g0243700,207,335
gene:Os03g0198500,611,858
gene:Os07g0600400,650,586
gene:Os02g0124000,0,0
gene:Os03g0798266,0,1
gene:Os10g0575800,1486,2141
gene:Os12g0239300,0,3685
gene:Os02g0217500,704,951
gene:Os08g0121400,4,13
gene:Os11g0208900,74,163
gene:Os07g0587400,5976,8393
gene:Os01g0149700,132,141
gene:Os01g0621700,1151,1069
gene:Os08g0249300,709,837
gene:Os05g0478700,0,5
gene:Os02g0211900,22,69
gene:Os02g0822050,0,0
gene:Os07g0124900,4,0
gene:Os07g0275300,1035,1108
gene:Os07g0217800,21,1
gene:Os08g0180000,1297,1935
gene:Os01g0174900,905,1212
gene:Os09g0268600,0,0
gene:Os04g0434300,701,1236
gene:Os07g0563000,381,460
gene:Os08g0190901,0,4
gene:Os05g0305700,506,683
gene:Os07g0572800,1318,3312
gene:Os01g0869400,14,34
gene:Os11g0673200,171,2579
gene:Os04g0193200,0,0
gene:Os01g0254800,241,309
gene:Os04g0208600,22,12
gene:Os06g0542100,328,444
gene:Os03g0656201,237,210
gene:Os02g0257200,1981,4670
gene:Os11g0413800,0,0
gene:Os03g0801300,5,0
gene:ENSRNA049473850,0,0
gene:Os02g0774800,0,0
gene:Os07g0202300,1062,1461
gene:Os03g0297700,690,1035
gene:Os06g0644100,4742,7671
gene:Os05g0326400,205,179
gene:Os01g0118350,2,3
gene:Os07g0568600,1131,2078
gene:Os08g0543700,0,0
gene:Os10g0430900,8459,11158
gene:Os01g0100700,2073,2825
gene:Os06g0177200,37,24
gene:Os07g0637400,642,803
gene:Os02g0312600,102,90
gene:Os03g0787150,0,0
gene:Os09g0560850,31,16
gene:Os01g0884300,6543,13155
gene:Os07g0117400,66,83
